Battery,Analysis,Term,Estimate,CI_lower,CI_upper,p_value
PHQ-9,Specificity,Target,0.4691548897898129,-1.853664482416931,2.791974261996557,0.6920753012825237
GAD-7,Specificity,Target,-0.6939481517067195,-1.9390795407262842,0.5511832373128452,0.27453025992003394
OCI-R,Specificity,Target,15.5426284922776,12.188242601225596,18.897014383329605,2.2911525222739577e-19
PCL-5,Specificity,Target,15.264420783483342,10.80644603240343,19.722395534563255,2.4137482580548306e-11
MDQ,Specificity,Target,9.252057613168875,8.352954671796104,10.151160554541645,6.2438535380443495e-83
PQ-16,Specificity,Target,6.257926515995329,3.438569251894757,9.0772837800959,1.4079291735055437e-5
EDE-Q,Specificity,Target,3.1499646884567927,2.5393283254195995,3.760601051493986,1.6018288710705332e-23
PHQ-9,Severity_trend,Severity_ord,7.203703703703684,5.941932770517511,8.465474636889857,4.062594914043415e-26
GAD-7,Severity_trend,Severity_ord,7.021604938271592,6.465978499549505,7.577231376993679,2.218818007016427e-88
OCI-R,Severity_trend,Severity_ord,17.694444444444414,16.398576021460748,18.99031286742808,2.139883654570664e-61
PCL-5,Severity_trend,Severity_ord,30.879629629629562,30.05818361343981,31.701075645819316,6.895111515681415e-126
MDQ,Severity_trend,Severity_ord,3.0462962962962967,2.3039843703942533,3.78860822219834,1.2894084241508956e-13
PQ-16,Severity_trend,Severity_ord,5.216049382716026,4.33919591431709,6.092902851114962,5.679785465191387e-28
EDE-Q,Severity_trend,Severity_ord,1.719347993827154,1.1228217553092406,2.3158742323450676,2.549702146466987e-8
PHQ-9,Interaction,Target:Severity_ord,0.6276426012599157,-0.6246307920520335,1.8799159945718649,0.3257671325209245
GAD-7,Interaction,Target:Severity_ord,0.31882716049386217,-0.39188917824685787,1.0295434992345822,0.3790974643047601
OCI-R,Interaction,Target:Severity_ord,3.5177053824361737,0.8311952506829234,6.204215514189424,0.010301784467960151
PCL-5,Interaction,Target:Severity_ord,5.66004842439125,1.8884640153290033,9.431632833453497,0.0032858090948378197
MDQ,Interaction,Target:Severity_ord,1.2283950617284716,0.12162363133501519,2.335166492121928,0.029621495446898027
PQ-16,Interaction,Target:Severity_ord,3.6017838168406393,2.538163420010026,4.665404213671253,3.957022331822153e-11
EDE-Q,Interaction,Target:Severity_ord,0.37569728406615605,-0.2985256487352033,1.0499202168675155,0.27461537747245957
