Battery,Analysis,Term,Estimate,CI_lower,CI_upper,p_value
PHQ-9,Specificity,Target,0.12880658436213796,-2.2495302424874857,2.507143411211761,0.9154263876004984
GAD-7,Specificity,Target,-0.7583594506592272,-2.2094876300157997,0.6927687286973453,0.3055438915181258
OCI-R,Specificity,Target,15.758000534003953,12.20392068021631,19.312080387791596,6.8532254934230376e-18
PCL-5,Specificity,Target,14.631208580342705,10.090212461160222,19.17220469952519,3.210445105455851e-10
MDQ,Specificity,Target,9.24253347064751,8.4159994498221309,10.06906749147289,3.682586385266421e-96
PQ-16,Specificity,Target,6.149500051015193,3.020950035348796,9.27805006668159,1.1933170957469003e-4
EDE-Q,Specificity,Target,2.9531213143433446,2.2633230889936593,3.64291953969303,8.388936862431193e-17
PHQ-9,Severity_trend,Severity_ord,7.0555555555555385,6.176016336814561,7.935094774296516,1.7781459432057167e-45
GAD-7,Severity_trend,Severity_ord,6.910493827160475,6.487762203983403,7.333225450337547,4.6297131327373285e-122
OCI-R,Severity_trend,Severity_ord,18.324074074074034,16.902605291473336,19.74554285667473,3.781527348659239e-58
PCL-5,Severity_trend,Severity_ord,29.333333333333258,28.294039466325273,30.372627200341242,1.0184932407122392e-106
MDQ,Severity_trend,Severity_ord,3.5648148148148273,2.7509275036692684,4.378702125960386,5.156021405143972e-15
PQ-16,Severity_trend,Severity_ord,4.836187320493077,3.9705040913478653,5.701870549638289,3.562552388868483e-25
EDE-Q,Severity_trend,Severity_ord,1.7025270061728366,1.2573582531633742,2.147695759182299,2.782810204791449e-13
PHQ-9,Interaction,Target:Severity_ord,0.41388888888889236,-0.5714312051317272,1.399208982909512,0.41016512245652403
GAD-7,Interaction,Target:Severity_ord,0.16863854065296927,-0.4850987531337756,0.8223758344397141,0.6129903522725664
OCI-R,Interaction,Target:Severity_ord,4.041230179174555,1.43914264340279,6.64331771494632,0.0023500894791035542
PCL-5,Interaction,Target:Severity_ord,5.243694817231145,1.3834383159266408,9.103951318535648,0.007782838536487546
MDQ,Interaction,Target:Severity_ord,1.89242609308582,0.8694525641488158,2.915399622022824,2.925776095961711e-4
PQ-16,Interaction,Target:Severity_ord,3.2537799130857135,2.1328506786214385,4.374709147549988,1.42699441503696e-8
EDE-Q,Interaction,Target:Severity_ord,0.33259817510064527,-0.2451014179499229,0.9102977681512134,0.25900237162714335
